,El-lab,El-modarag,Redmi,youssef,Farouk,target
166,-100,-100,-76,-64,-100,7
167,-100,-63,-72,-67,-79,7
168,-100,-100,-70,-67,-100,7
169,-100,-59,-71,-64,-100,7
170,-100,-64,-69,-77,-100,7
171,-100,-60,-84,-64,-100,7
172,-100,-100,-73,-100,-100,7
173,-100,-68,-71,-73,-100,7
174,-100,-66,-75,-68,-100,7
175,-100,-64,-100,-70,-100,7
176,-100,-67,-100,-77,-100,7
177,-100,-100,-100,-73,-100,7
178,-100,-70,-79,-74,-100,7
179,-100,-78,-74,-72,-100,7
180,-100,-74,-70,-100,-100,7
181,-100,-100,-76,-76,-100,7
182,-100,-100,-86,-75,-100,7
183,-100,-100,-84,-73,-100,7
184,-100,-100,-100,-78,-100,7
185,-100,-62,-67,-72,-100,7
186,-100,-100,-73,-70,-100,7
187,-100,-100,-71,-73,-100,7
188,-100,-100,-67,-76,-100,7
189,-100,-100,-69,-72,-100,7
190,-100,-76,-80,-83,-87,7
191,-100,-66,-71,-73,-100,7
192,-100,-73,-87,-73,-100,7
193,-100,-100,-78,-100,-100,7
194,-100,-100,-78,-73,-100,7
195,-100,-66,-75,-79,-100,7
196,-100,-59,-70,-68,-83,7
197,-100,-62,-81,-65,-100,7
198,-100,-62,-100,-66,-100,7
199,-100,-100,-100,-65,-100,7
200,-100,-100,-85,-66,-83,7
201,-100,-71,-72,-70,-100,7
202,-100,-59,-71,-65,-100,7
203,-100,-58,-100,-74,-100,7
204,-100,-100,-82,-71,-100,7
205,-100,-100,-100,-72,-100,7
206,-100,-62,-73,-70,-100,7
207,-100,-67,-72,-67,-100,7
208,-100,-100,-70,-68,-100,7
209,-100,-100,-100,-70,-100,7
210,-100,-100,-85,-64,-100,7
211,-100,-100,-79,-68,-100,7
212,-100,-71,-69,-69,-100,7
213,-100,-75,-71,-79,-100,7
214,-100,-66,-71,-72,-100,7
215,-100,-68,-73,-68,-100,7
216,-100,-72,-69,-68,-100,7
217,-100,-75,-88,-69,-100,7
218,-100,-72,-70,-74,-100,7
219,-100,-76,-74,-72,-84,7
220,-100,-68,-100,-71,-100,7
221,-100,-100,-100,-65,-100,7
222,-100,-66,-100,-68,-100,7
223,-100,-66,-71,-71,-81,7
224,-100,-67,-73,-73,-100,7
225,-100,-100,-73,-70,-100,7
226,-100,-69,-74,-67,-100,7
227,-100,-67,-100,-68,-100,7
228,-100,-69,-71,-69,-100,7
229,-100,-77,-100,-69,-100,7
230,-100,-100,-100,-75,-100,7
