WE_41B884,youssef,STUDBME2,CMP_LAB3,El-modarag,STUDBME1,CMP_LAB4,CMP_LAB2,ARC3,Sbme-Staff,CMP_LAB1,El-lab,Mo_Hamza,Farouk,RehabLab,Gamil,TP-Link_463C,redmi,ARC1,target
-72,-88,-75,-100,-100,-64,-100,-100,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-80,-92,-75,-100,-71,-46,-77,-100,-61,-77,-100,-100,-100,-100,-100,-100,-100,-100,-83,5
-66,-100,-100,-73,-65,-44,-100,-73,-100,-100,-71,-100,-100,-100,-100,-74,-100,-100,-100,5
-43,-100,-47,-100,-100,-56,-51,-50,-100,-100,-51,-72,-100,-100,-100,-100,-100,-100,-100,9
-79,-100,-100,-100,-86,-75,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-60,-100,-56,-100,-100,-66,-100,-51,-100,-100,-100,-100,-100,-55,-66,-100,-100,-100,-100,11
-74,-64,-79,-81,-76,-72,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-42,-100,-49,-100,-100,-51,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,9
-67,-81,-73,-100,-83,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-52,-83,-48,-100,-100,-55,-100,-63,-100,-100,-62,-83,-100,-69,-100,-100,-100,-100,-100,9
-63,-100,-56,-69,-100,-100,-72,-69,-100,-100,-70,-52,-60,-100,-100,-100,-100,-100,-100,13
-56,-78,-64,-100,-100,-48,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-67,-100,-56,-100,-100,-100,-100,-100,-100,-100,-100,-44,-62,-90,-100,-100,-100,-100,-100,12
-65,-82,-64,-100,-70,-43,-100,-100,-73,-100,-100,-100,-100,-100,-84,-68,-100,-100,-100,5
-44,-89,-46,-57,-100,-66,-100,-57,-100,-100,-57,-69,-100,-65,-86,-100,-100,-100,-100,9
-64,-100,-56,-100,-74,-44,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,7
-62,-93,-57,-100,-66,-44,-100,-100,-68,-75,-100,-100,-100,-100,-100,-61,-100,-100,-100,5
-46,-100,-48,-58,-100,-56,-55,-100,-100,-100,-100,-69,-100,-59,-74,-100,-100,-100,-100,9
-51,-100,-47,-100,-100,-64,-100,-100,-100,-100,-46,-65,-72,-60,-100,-100,-100,-100,-100,10
-76,-93,-70,-100,-59,-48,-100,-83,-65,-100,-82,-100,-100,-100,-100,-72,-100,-100,-100,5
-73,-77,-71,-100,-74,-69,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,8
-76,-75,-72,-100,-71,-71,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-63,-100,-54,-100,-100,-100,-100,-100,-100,-100,-100,-55,-77,-100,-100,-100,-100,-100,-100,13
-73,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,-46,-100,-100,-100,-100,-100,-100,-100,12
-65,-100,-70,-100,-100,-43,-100,-100,-100,-100,-100,-100,-100,-100,-100,-64,-100,-100,-100,5
-83,-73,-73,-100,-77,-72,-73,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,8
-51,-100,-57,-100,-100,-69,-100,-49,-100,-100,-47,-100,-100,-71,-56,-100,-100,-100,-100,11
-68,-77,-70,-76,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,6
-47,-82,-47,-63,-100,-50,-100,-63,-100,-100,-100,-100,-100,-68,-100,-100,-100,-100,-100,9
-64,-100,-56,-100,-100,-100,-72,-100,-100,-100,-100,-58,-100,-100,-100,-100,-100,-100,-100,13
-61,-100,-57,-48,-100,-100,-100,-100,-100,-100,-48,-100,-100,-53,-100,-100,-100,-100,-100,11
-59,-100,-54,-100,-100,-100,-43,-100,-100,-100,-43,-100,-100,-67,-65,-100,-100,-100,-100,11
-41,-100,-39,-100,-100,-48,-100,-57,-100,-100,-60,-100,-100,-100,-100,-100,-100,-100,-100,9
-52,-100,-51,-57,-100,-63,-100,-55,-100,-100,-100,-67,-100,-63,-65,-100,-100,-100,-100,10
-73,-74,-77,-100,-69,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,8
-64,-100,-55,-100,-100,-61,-100,-100,-100,-100,-48,-100,-100,-55,-100,-100,-100,-100,-100,10
-75,-62,-78,-76,-71,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-78,-100,-100,-100,8
