STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
-51,-82,-85,-89,-85,-92,5
-52,-90,-85,-89,-85,-92,5
-52,-84,-85,-89,-85,-92,5
-45,-88,-85,-89,-85,-92,5
-45,-88,-85,-89,-85,-92,5
-45,-87,-85,-89,-85,-86,5
-44,-89,-85,-89,-85,-86,5
-47,-89,-85,-89,-85,-86,5
-47,-85,-85,-89,-85,-86,5
-47,-87,-85,-85,-83,-86,5
-47,-84,-85,-85,-83,-86,5
-47,-90,-85,-85,-83,-86,5
-52,-88,-85,-85,-83,-86,5
-54,-89,-84,-85,-83,-86,5
-54,-88,-84,-85,-83,-86,5
-54,-93,-87,-84,-86,-84,5
-54,-88,-87,-84,-86,-84,5
-54,-87,-87,-84,-86,-84,5
-52,-86,-87,-84,-86,-84,5
-46,-86,-87,-84,-86,-84,5
-46,-89,-87,-84,-86,-84,5
-46,-86,-87,-84,-87,-84,5
-46,-90,-87,-84,-87,-84,5
-50,-90,-87,-84,-87,-84,5
-54,-86,-87,-84,-87,-84,5
-55,-87,-87,-84,-87,-84,5
-55,-87,-87,-84,-85,-84,5
-55,-87,-87,-84,-85,-84,5
-55,-90,-87,-84,-85,-84,5
-55,-91,-87,-84,-85,-84,5
-51,-91,-87,-84,-85,-84,5
-51,-85,-87,-84,-85,-84,5
-51,-85,-87,-84,-85,-84,5
-51,-85,-87,-84,-85,-84,5
-51,-92,-87,-84,-85,-84,5
-51,-83,-87,-84,-85,-84,5
-44,-91,0,0,0,0,5
-44,-91,0,0,0,0,5
-47,-91,0,0,0,0,5
-47,-88,0,0,0,0,5
-44,-90,0,0,0,0,5
-44,-88,0,0,0,0,5
-44,-82,0,0,0,0,5
-44,-88,0,0,-85,0,5
-56,-87,0,0,-85,0,5
-56,-88,0,0,-85,0,5
-47,-84,0,0,-85,-86,5
-47,-84,0,0,-85,-86,5
-47,-84,0,0,-85,-86,5
-47,-85,0,0,-85,-86,5
-44,-88,0,0,-85,-86,5
-44,-88,0,0,-85,-86,5
-53,-82,0,0,-85,-86,5
-53,-90,0,0,-85,-86,5
-53,-85,0,0,-85,-86,5
-53,-84,0,0,-85,-86,5
-50,-83,-84,0,-85,-84,5
-50,-83,-84,0,-85,-84,5
-50,-84,-84,0,-85,-84,5
-50,-84,-84,0,-80,-84,5
-50,-84,-84,0,-80,-92,5
-50,-89,-84,0,-80,-92,5
-45,-84,-84,0,-80,-92,5
-45,-86,-84,0,-80,-92,5
-42,-86,-84,0,-80,-92,5
-42,-86,-84,0,-80,-92,5
-42,-92,-84,0,-80,-92,5
