STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
0,-86,0,0,0,0,5
-58,-88,0,0,0,-88,5
-58,-84,-86,0,-86,-88,5
-54,-89,-86,0,-86,-88,5
-54,-83,-84,-83,-86,-88,5
-54,-82,-84,-87,-88,-88,5
-54,-86,-84,-87,-88,-85,5
-34,-92,-84,-87,-88,-85,5
-46,-89,-92,-82,-88,-85,5
-46,-89,-92,-82,-88,-85,5
-46,-85,-92,-82,-88,-85,5
-46,-82,-92,-82,-88,-85,5
-46,-85,-83,-82,-84,-85,5
-46,-89,-83,-82,-84,-86,5
-45,-84,-83,-82,-84,-86,5
-45,-87,-83,-82,-84,-86,5
-45,-89,-83,-82,-84,-86,5
-45,-84,-83,-82,-84,-86,5
-44,-86,-83,-82,-84,-86,5
-44,-85,-83,-82,-84,-86,5
-44,-85,-83,-82,-84,-86,5
0,-77,0,0,0,0,5
-53,-83,0,-84,0,0,5
-57,-87,0,-84,0,0,5
-49,-89,0,-84,0,0,5
-49,-79,-81,-82,-86,-82,5
-49,-80,-81,-82,-86,-82,5
-46,-90,-81,-82,-86,-82,5
-53,-86,-81,-82,-86,-82,5
-53,-87,-81,-82,-86,-82,5
-53,-90,-81,-82,-86,-82,5
-53,-88,-81,-82,-86,-82,5
-53,-87,-81,-82,-86,-82,5
-51,-81,-81,-82,-86,-82,5
-45,-89,-81,-82,-86,-82,5
-53,-87,-81,-82,-86,-82,5
-53,-88,-81,-82,-86,-82,5
-53,-85,-81,-82,-86,-82,5
-53,-86,-81,-82,-86,-82,5
-44,-84,-81,-82,-83,-82,5
-53,-85,-81,-82,-83,-85,5
-45,-86,-81,-82,-83,-85,5
-45,-86,-81,-82,-83,-85,5
-45,-89,-81,-82,-83,-85,5
-45,-87,-81,-82,-83,-85,5
-50,-88,-81,-82,-83,-85,5
-48,-85,-81,-82,-83,-85,5
-54,-92,-81,-82,-90,-85,5
-54,-84,-81,-82,-90,-86,5
-54,-90,-81,-82,-90,-86,5
-46,-84,-82,-82,-90,-82,5
-45,-82,-87,-84,-90,-82,5
-48,-91,-87,-84,-90,-82,5
-48,-82,-87,-89,-90,-82,5
-48,-80,-87,-89,-90,-82,5
-48,-84,-87,-89,-90,-82,5
-53,-85,-87,-89,-90,-82,5
-56,-84,-87,-89,-90,-82,5
-57,-83,-87,-89,-90,-82,5
-57,-82,-87,-89,-87,-83,5
-57,-82,-83,-89,-87,-87,5
-57,-88,-83,-89,-87,-87,5
-51,-90,-83,-89,-87,-87,5
-51,-85,-83,-89,-87,-87,5
-52,-88,-83,-89,-87,-87,5
-52,-83,-83,-89,-87,-87,5
-52,-82,-83,-89,-87,-87,5
-50,-83,-89,-89,-87,-87,5
-56,-85,-89,-89,-87,-87,5
-52,-85,-89,-89,-87,-87,5
0,-91,0,0,0,0,5
-47,-86,0,0,0,0,5
-57,-89,0,0,0,0,5
-44,-89,0,0,0,0,5
-44,-82,0,0,0,0,5
-44,-79,-85,0,0,0,5
-44,-81,-85,0,-85,0,5
-52,-85,-85,0,-85,0,5
-52,-87,-85,0,-85,0,5
-51,-85,-85,-89,-85,-92,5
-51,-84,-85,-89,-85,-92,5
-51,-85,-85,-89,-85,-92,5
