,STUDBME1,STUDBME2,CMP_LAB1,CMP_LAB2,CMP_LAB3,CMP_LAB4,target
11,-47,-62,-74,-70,-74,-73,4
12,-46,-62,-78,-70,-74,-73,4
13,-46,-61,-71,-72,-69,-72,4
14,-46,-57,-71,-72,-74,-76,4
15,-46,-71,-75,-72,-75,-74,4
16,-46,-62,-74,-69,-69,-73,4
17,-43,-64,-75,-70,-71,-71,4
18,-42,-61,-73,-70,-71,-71,4
19,-42,-69,-73,-74,-73,-74,4
20,-42,-61,-73,-74,-73,-69,4
21,-42,-66,-73,-76,-73,-80,4
22,-42,-70,-77,-76,-74,-80,4
23,-39,-64,-77,-69,-68,-80,4
24,-39,-67,-75,-69,-74,-80,4
25,-39,-67,-75,-69,-69,-70,4
26,-39,-66,-70,-72,-71,-71,4
27,-42,-68,-70,-70,-68,-71,4
28,-42,-73,-70,-78,-77,-71,4
29,-40,-72,-77,-78,-80,-79,4
30,-40,-66,-77,-75,-77,-76,4
0,0,-86,0,0,0,0,5
1,-58,-88,0,0,0,-88,5
2,-58,-84,-86,0,-86,-88,5
3,-54,-89,-86,0,-86,-88,5
4,-54,-83,-84,-83,-86,-88,5
5,-54,-82,-84,-87,-88,-88,5
6,-54,-86,-84,-87,-88,-85,5
7,-34,-92,-84,-87,-88,-85,5
8,-46,-89,-92,-82,-88,-85,5
9,-46,-89,-92,-82,-88,-85,5
10,-46,-85,-92,-82,-88,-85,5
11,-46,-82,-92,-82,-88,-85,5
12,-46,-85,-83,-82,-84,-85,5
13,-46,-89,-83,-82,-84,-86,5
14,-45,-84,-83,-82,-84,-86,5
15,-45,-87,-83,-82,-84,-86,5
16,-45,-89,-83,-82,-84,-86,5
17,-45,-84,-83,-82,-84,-86,5
18,-44,-86,-83,-82,-84,-86,5
19,-44,-85,-83,-82,-84,-86,5
20,-44,-85,-83,-82,-84,-86,5
21,0,-77,0,0,0,0,5
22,-53,-83,0,-84,0,0,5
23,-57,-87,0,-84,0,0,5
